,YEAR,CONF,TEAM NO,TEAM,SEED,ROUND,KADJ O,KADJ D,KADJ EM,BADJ O,BADJ D,BADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%
131,2022,ACC,880,Virginia Tech,11,64,114.268,96.4045,17.8634,114.7,94.9,19.8,55.2,48.7,23.7,25.2,17.0,18.8,28.1,73.9,26.1,71.9
132,2022,B10,879,Wisconsin,3,32,110.398,94.8142,15.5839,110.1,93.8,16.3,48.2,49.4,32.3,27.7,12.7,16.9,25.8,76.0,24.0,74.2
133,2022,Horz,878,Wright St.,16,64,106.365,107.231,-0.86607,104.2,106.9,-2.7,52.0,51.2,31.1,26.0,17.9,18.4,31.3,70.0,30.0,68.7
134,2022,MWC,877,Wyoming,12,68,110.173,97.0777,13.0956,108.7,97.5,11.2,52.4,47.2,37.0,24.5,16.7,15.8,25.6,75.9,24.1,74.4
135,2022,Ivy,876,Yale,14,64,101.474,99.2392,2.23432,99.8,98.4,1.4,50.1,48.9,32.7,31.1,18.3,18.2,25.6,73.5,26.5,74.4
136,2021,Slnd,875,Abilene Christian,14,32,103.047,92.9196,10.1273,101.1,92.5,8.6,52.9,45.4,34.0,42.5,19.4,26.7,30.6,72.1,27.9,69.4
137,2021,SEC,874,Alabama,2,16,111.722,86.734,24.9876,110.7,88.6,22.1,51.3,45.3,28.6,31.9,18.6,21.1,31.5,70.2,29.8,68.5
138,2021,SB,873,Appalachian St.,16,68,99.3998,103.738,-4.33805,98.4,104.3,-5.9,47.7,50.4,33.0,24.0,17.5,20.0,27.8,69.4,30.6,72.2
139,2021,SEC,872,Arkansas,3,8,111.502,89.9724,21.5292,110.1,91.3,18.8,51.5,47.6,32.7,29.3,17.4,20.3,31.7,73.8,26.2,68.3
140,2021,B12,871,Baylor,1,1,123.265,93.7679,29.4969,123.4,93.5,29.9,57.5,49.1,27.0,31.7,17.6,24.6,37.5,69.1,30.9,62.5
141,2021,WCC,870,BYU,6,64,113.107,92.1612,20.9462,111.5,92.6,18.9,55.0,46.6,27.8,29.4,19.0,16.0,28.6,76.7,23.3,71.4
142,2021,ACC,869,Clemson,7,64,106.87,90.7046,16.1652,105.1,90.5,14.6,50.4,48.8,23.6,29.6,19.5,21.6,26.6,73.5,26.5,73.4
143,2021,Horz,868,Cleveland St.,15,64,100.852,99.4794,1.37289,99.1,99.6,-0.5,50.6,48.9,31.9,37.2,18.5,20.3,30.9,68.1,31.9,69.1
144,2021,Pat,867,Colgate,14,64,110.89,100.668,10.2223,112.4,98.0,14.4,57.0,45.6,31.0,25.0,13.7,16.6,28.2,74.6,25.4,71.8
